gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,ap,at,ceq,che,cogs,csho,dltt,ebit,ebitda,epspx,ibc,invt,ni,nits,oancf,rect,sale,xint,costat,prcc_f
001045,12/31/2021,2021,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,1772.0000,66467.0000,-7340.0000,13421.0000,27969.0000,647.7280,42181.0000,-5514.0000,-3179.0000,-3.0900,-1993.0000,1795.0000,-1993.0000,,704.0000,1505.0000,29882.0000,1800.0000,A,17.960000000000
001045,12/31/2022,2022,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2149.0000,64716.0000,-5799.0000,9960.0000,37631.0000,650.6420,38948.0000,1805.0000,4103.0000,0.2000,127.0000,2279.0000,127.0000,,2173.0000,2138.0000,48971.0000,1962.0000,A,12.720000000000
001045,12/31/2023,2023,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,2353.0000,63058.0000,-5202.0000,8488.0000,38716.0000,654.2730,35722.0000,4013.0000,6267.0000,1.2600,822.0000,2400.0000,822.0000,,3803.0000,2026.0000,52788.0000,2145.0000,A,13.740000000000
001078,12/31/2021,2021,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,4408.0000,75196.0000,35802.0000,10249.0000,16627.0000,1764.0820,18252.0000,8966.0000,12504.0000,3.9700,7071.0000,5157.0000,7071.0000,,10533.0000,6487.0000,43075.0000,533.0000,A,140.740000000000
001078,12/31/2022,2022,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,4607.0000,74438.0000,36686.0000,10170.0000,17547.0000,1737.7950,15465.0000,9046.0000,12313.0000,3.9400,6933.0000,6173.0000,6933.0000,,9581.0000,6218.0000,43653.0000,558.0000,A,109.790000000000
001078,12/31/2023,2023,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,4295.0000,73214.0000,38603.0000,7279.0000,16602.0000,1734.0760,14548.0000,6793.0000,10036.0000,3.2800,5723.0000,6570.0000,5723.0000,,7261.0000,6565.0000,40109.0000,637.0000,A,110.070000000000
001161,12/31/2021,2021,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,1406.0000,12419.0000,7497.0000,3608.0000,8209.0000,1207.0000,349.0000,3678.0000,3974.0000,2.6100,3162.0000,1955.0000,3162.0000,,3521.0000,2708.0000,16434.0000,34.0000,A,143.900000000000
001161,12/31/2022,2022,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2956.0000,67580.0000,54750.0000,5855.0000,10918.0000,1612.0000,2863.0000,1683.0000,5670.0000,0.8500,1320.0000,3771.0000,1320.0000,,3565.0000,4128.0000,23601.0000,88.0000,A,64.770000000000
001161,12/31/2023,2023,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2418.0000,67885.0000,55892.0000,5773.0000,10833.0000,1616.0000,2252.0000,629.0000,3881.0000,0.5300,854.0000,4351.0000,854.0000,,1667.0000,5385.0000,22680.0000,106.0000,A,147.410000000000
001209,09/30/2022,2022,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,1120.7000,27192.6000,13144.0000,3301.7000,8000.3000,221.8390,7677.9000,2356.6000,3694.8000,10.1100,2253.9000,514.2000,2256.1000,,3230.2000,1941.2000,12698.6000,169.0000,A,232.730000000000
001209,09/30/2023,2023,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,1212.9000,32002.5000,14312.9000,1949.2000,7474.7000,222.2000,10062.4000,2704.4000,4062.7000,10.3100,2331.2000,651.8000,2300.2000,,3206.3000,2162.7000,12600.0000,292.9000,A,283.400000000000
001209,09/30/2024,2024,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,1451.6000,39574.6000,17036.5000,2984.7000,6717.6000,222.3720,14210.9000,2889.3000,4340.4000,17.2700,3876.3000,766.0000,3828.2000,,3646.7000,2168.2000,12100.6000,507.9000,A,297.740000000000
001230,12/31/2021,2021,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,200.0000,13951.0000,3801.0000,3116.0000,5342.0000,125.9060,3452.0000,-240.0000,154.0000,3.8200,478.0000,62.0000,478.0000,,1030.0000,546.0000,6176.0000,128.0000,A,52.100000000000
001230,12/31/2022,2022,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,221.0000,14186.0000,3816.0000,2417.0000,7553.0000,127.5340,3276.0000,694.0000,1109.0000,0.4600,58.0000,104.0000,58.0000,,1418.0000,296.0000,9646.0000,108.0000,A,42.940000000000
001230,12/31/2023,2023,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,207.0000,14613.0000,4113.0000,1791.0000,8106.0000,126.0900,3307.0000,837.0000,1288.0000,1.8400,235.0000,116.0000,235.0000,,1050.0000,383.0000,10426.0000,121.0000,A,39.070000000000
001300,12/31/2021,2021,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,6484.0000,64470.0000,18569.0000,11523.0000,21798.0000,684.8000,15101.0000,6769.0000,7908.0000,8.0100,5610.0000,5138.0000,5542.0000,,6038.0000,7011.0000,34392.0000,343.0000,A,208.510000000000
001300,12/31/2022,2022,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,6329.0000,62275.0000,16697.0000,10110.0000,22263.0000,667.6000,15898.0000,7308.0000,8298.0000,7.3300,4967.0000,5538.0000,4966.0000,,5274.0000,7933.0000,35466.0000,414.0000,A,214.300000000000
001300,12/31/2023,2023,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,6849.0000,61525.0000,15856.0000,8095.0000,22044.0000,651.8000,17459.0000,7084.0000,8035.0000,8.5300,5672.0000,6178.0000,5658.0000,,5340.0000,7767.0000,36662.0000,765.0000,A,209.710000000000
001380,12/31/2021,2021,INDL,C,D,STD,HES,HESS CORP,USD,220.0000,20515.0000,6300.0000,2713.0000,3435.0000,309.7450,8535.0000,2008.0000,3556.0000,1.8200,890.0000,223.0000,559.0000,,2890.0000,1211.0000,7473.0000,481.0000,A,74.030000000000
001380,12/31/2022,2022,INDL,C,D,STD,HES,HESS CORP,USD,285.0000,21695.0000,7855.0000,2486.0000,5089.0000,306.1770,8926.0000,3793.0000,5516.0000,6.8000,2447.0000,217.0000,2096.0000,,3944.0000,1162.0000,11324.0000,503.0000,A,141.820000000000
001380,12/31/2023,2023,INDL,C,D,STD,HES,HESS CORP,USD,402.0000,24007.0000,8986.0000,1688.0000,4806.0000,307.1580,8917.0000,2815.0000,4888.0000,4.5200,1738.0000,304.0000,1382.0000,,3942.0000,1330.0000,10511.0000,526.0000,A,144.160000000000
001414,12/31/2021,2021,FS,C,D,STD,PRI,PRIMERICA INC,USD,94.5290,16123.2230,2082.5120,,,,2025.6530,,,,,0.0000,,,,,,30.6180,A,153.270000000000
001414,12/31/2021,2021,INDL,C,D,STD,PRI,PRIMERICA INC,USD,679.9110,16123.2230,2082.5120,727.4530,2039.9680,39.3680,2025.6530,639.6640,669.7640,9.4100,371.9800,24.3550,373.3570,,656.9560,4807.1590,2709.7320,30.6180,A,153.270000000000
001414,12/31/2022,2022,FS,C,D,STD,PRI,PRIMERICA INC,USD,100.9380,15348.8770,1721.4990,,,,2084.1440,,,,,0.0000,,,,,,27.2370,A,141.820000000000
001414,12/31/2022,2022,INDL,C,D,STD,PRI,PRIMERICA INC,USD,639.1880,15348.8770,1721.4990,722.4770,2106.7390,36.8240,2084.1440,578.9940,613.3940,9.7700,367.9740,3.6980,373.0120,,757.6650,4539.8260,2720.1330,27.2370,A,141.820000000000
001414,12/31/2023,2023,FS,C,D,STD,PRI,PRIMERICA INC,USD,99.7850,15027.7320,2065.9670,,,,2042.1710,,,,,0.0000,,,,,,26.5940,A,205.760000000000
001414,12/31/2023,2023,INDL,C,D,STD,PRI,PRIMERICA INC,USD,613.5880,15027.7320,2065.9670,820.0630,2005.2170,34.9960,2042.1710,778.2620,810.4620,15.9700,576.6010,18.3830,576.6010,,692.5170,3548.9540,2815.6790,26.5940,A,205.760000000000
001440,12/31/2021,2021,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,2054.6000,87668.7000,22433.2000,671.8000,10594.0000,504.2120,31989.6000,3372.3000,6198.0000,4.9700,2488.1000,989.2000,2488.1000,,3839.9000,1941.6000,16792.0000,1252.9000,A,88.970000000000
001440,12/31/2022,2022,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,2613.0000,93469.4000,23893.4000,744.0000,12744.0000,513.8660,34346.5000,3692.7000,6895.5000,4.5100,2305.6000,1302.1000,2307.2000,,5288.0000,2570.3000,19639.5000,1459.1000,A,94.950000000000
001440,12/31/2023,2023,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,2032.5000,96684.0000,25246.7000,593.3000,12208.7000,526.1850,38312.0000,3683.2000,6773.6000,4.2600,2212.6000,1879.5000,2208.1000,,5012.2000,2447.4000,18982.3000,1924.2000,A,81.220000000000
001447,12/31/2021,2021,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,10574.0000,188548.0000,22177.0000,,,,25613.0000,,,,,0.0000,,,,,,1283.0000,A,163.600000000000
001447,12/31/2021,2021,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,93896.0000,188548.0000,22177.0000,23505.0000,31847.0000,761.0000,25613.0000,10121.0000,11816.0000,10.0400,8060.0000,0.0000,8060.0000,,14645.0000,144372.0000,43663.0000,209.0000,A,163.600000000000
001447,12/31/2022,2022,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12133.0000,228354.0000,24711.0000,,,,35035.0000,,,,,0.0000,,,,,,2763.0000,A,147.750000000000
001447,12/31/2022,2022,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,121267.0000,228354.0000,24711.0000,38225.0000,43212.0000,743.0000,35035.0000,10787.0000,12413.0000,9.8600,7514.0000,0.0000,7514.0000,,21079.0000,170036.0000,55625.0000,758.0000,A,147.750000000000
001447,12/31/2023,2023,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,13109.0000,261108.0000,28057.0000,,,,38437.0000,,,,,0.0000,,,,,,6849.0000,A,187.340000000000
001447,12/31/2023,2023,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,141267.0000,261108.0000,28057.0000,48374.0000,52586.0000,723.0000,38437.0000,13127.0000,14778.0000,11.2300,8374.0000,0.0000,8374.0000,,18559.0000,191701.0000,67364.0000,2283.0000,A,187.340000000000
001449,12/31/2021,2021,FS,C,D,STD,AFL,AFLAC INC,USD,0.0000,157542.0000,33253.0000,,,,7956.0000,,,,,,,1146.0000,,,,238.0000,A,58.390000000000
001449,12/31/2021,2021,INDL,C,D,STD,AFL,AFLAC INC,USD,6998.0000,157542.0000,33253.0000,7792.0000,16433.0000,652.1320,7956.0000,4565.0000,4604.0000,6.4200,4325.0000,0.0000,4325.0000,,5051.0000,14389.0000,21037.0000,238.0000,A,58.390000000000
001449,12/31/2022,2022,FS,C,D,STD,AFL,AFLAC INC,USD,0.0000,131017.0000,22365.0000,,,,7442.0000,,,,,,,1134.0000,,,,226.0000,A,71.940000000000
001449,12/31/2022,2022,INDL,C,D,STD,AFL,AFLAC INC,USD,6370.0000,131017.0000,22365.0000,7369.0000,14632.0000,615.2560,7442.0000,3406.0000,3446.0000,6.6200,4201.0000,0.0000,4201.0000,,3879.0000,15948.0000,18078.0000,226.0000,A,71.940000000000
001449,12/31/2023,2023,FS,C,D,STD,AFL,AFLAC INC,USD,0.0000,126724.0000,21985.0000,,,,7364.0000,,,,,,,1106.0000,,,,195.0000,A,82.500000000000
