tic,datadate,fundamental_score,score_pe,score_pb,score_ev_ebitda,score_roce,score_margin,score_turnover,score_inventory,score_accruals,score_dte,score_cov
AAL,2021-12-31,0.5742765185840932,0.9394145677331518,0.9407356948228883,0.9810771470160117,0.010847457627118645,0.03721244925575101,0.43031123139377536,0.5609418282548476,0.8450608930987822,0.9728813559322034,0.024282560706401765
AAL,2022-12-31,0.5079450517502543,0.07624234172906741,0.9400544959128065,0.8034934497816594,0.12949152542372883,0.07104194857916103,0.6772665764546685,0.5685595567867036,0.7855209742895806,0.976271186440678,0.051508462104488596
AAL,2023-12-31,0.6416343911549716,0.8012253233492171,0.94141689373297,0.9112081513828238,0.4528813559322034,0.10013531799729364,0.7198917456021651,0.5637119113573407,0.8599458728010825,0.9776271186440678,0.08830022075055188
ABT,2021-12-31,0.4901731720171245,0.22668481960517362,0.23705722070844681,0.289665211062591,0.5776271186440678,0.6299052774018945,0.5527740189445196,0.2195290858725762,0.8721244925575101,0.5796610169491525,0.7167034584253127
ABT,2022-12-31,0.5311415574574996,0.35874744724302243,0.3147138964577657,0.47161572052401746,0.6020338983050847,0.6170500676589986,0.5635994587280109,0.18975069252077562,0.8437077131258457,0.6386440677966101,0.7115526122148639
ABT,2023-12-31,0.45614745729927997,0.25255275697753576,0.329700272479564,0.3013100436681223,0.43796610169491523,0.554127198917456,0.5277401894451962,0.16412742382271467,0.736129905277402,0.6691525423728814,0.5886681383370125
AMD,2021-12-31,0.540288897109157,0.09734513274336287,0.05517711171662121,0.08369723435225618,0.9491525423728814,0.7158322056833559,0.9032476319350473,0.29986149584487537,0.4769959404600812,0.8833898305084746,0.9381898454746137
AMD,2022-12-31,0.435220633488019,0.05650102110279098,0.7016348773841962,0.3697234352256187,0.07050847457627119,0.21109607577807848,0.3166441136671177,0.19390581717451524,0.8031123139377537,0.88,0.7490802060338484
AMD,2023-12-31,0.2985896303920751,0.012253233492171556,0.3923705722070845,0.033478893740902516,0.04610169491525424,0.15426251691474965,0.3044654939106901,0.15997229916897507,0.6211096075778079,0.8888135593220339,0.3730684326710817
APD,2022-09-30,0.5325804298098964,0.47787610619469023,0.42166212534059944,0.5036390101892285,0.3715254237288136,0.6765899864682002,0.4519621109607578,0.5602493074792244,0.6508795669824087,0.5403389830508474,0.6710816777041942
APD,2023-09-30,0.47212263287952216,0.36759700476514634,0.37534059945504084,0.4068413391557496,0.36135593220338985,0.6914749661705006,0.36738836265223274,0.5186980609418282,0.6339648173207036,0.46508474576271186,0.5334805003679176
APD,2024-09-30,0.4227986752545602,0.6181075561606535,0.4250681198910081,0.38427947598253276,0.2854237288135593,0.8998646820027063,0.28349120433017594,0.4930747922437673,0.08795669824086605,0.3945762711864407,0.3561442236938926
ALK,2021-12-31,0.38871493808134827,0.7270251872021783,0.7425068119891007,0.06477438136826785,0.031186440677966103,0.2861975642760487,0.42219215155615697,0.6759002770083102,0.5426251691474966,0.36677966101694914,0.027961736571008096
ALK,2022-12-31,0.493842116162608,0.04424778761061943,0.8099455040871935,0.9148471615720524,0.3071186440677966,0.07916102841677942,0.6265223274695535,0.667590027700831,0.7171853856562923,0.38033898305084746,0.3914643119941133
ALK,2023-12-31,0.5561078348943379,0.5159972770592239,0.8637602179836512,0.9337700145560408,0.3694915254237288,0.10690121786197564,0.6535859269282814,0.6655124653739612,0.621786197564276,0.4108474576271186,0.4194260485651214
HON,2021-12-31,0.4740503939179681,0.39891082368958475,0.21117166212534055,0.33551673944687044,0.6827118644067797,0.6238159675236806,0.510148849797023,0.3012465373961219,0.513531799729364,0.40406779661016945,0.7593818984547461
HON,2022-12-31,0.45297606169813587,0.32675289312457456,0.18324250681198906,0.36244541484716153,0.7396610169491525,0.5460081190798376,0.5520974289580515,0.28601108033240996,0.452638700947226,0.35389830508474573,0.7270051508462104
HON,2023-12-31,0.4000778841017717,0.4315861130020422,0.1818801089918256,0.34788937409024745,0.7111864406779661,0.5967523680649527,0.571041948579161,0.24653739612188366,0.07171853856562926,0.30576271186440673,0.5364238410596026
HES,2021-12-31,0.43788950391180625,0.16882232811436348,0.44550408719346046,0.8508005822416302,0.4732203389830508,0.2740189445196211,0.33558863328822736,0.5588642659279779,0.7811231393775372,0.22237288135593225,0.26857983811626196
HES,2022-12-31,0.566881330902872,0.5228046289993193,0.30040871934604907,0.8187772925764192,0.7437288135593221,0.6968876860622463,0.5020297699594046,0.6114958448753463,0.7310554803788905,0.29423728813559324,0.44738778513612953
HES,2023-12-31,0.4899043019545446,0.282505105513955,0.33174386920980925,0.75254730713246,0.5559322033898305,0.5182679296346414,0.41610284167794315,0.5616343490304709,0.8017591339648173,0.3349152542372882,0.34363502575423105
PRI,2021-12-31,0.5325545069651381,0.6385296119809394,0.5258855585831063,0.6848617176128093,0.5498305084745763,0.540595399188092,0.15832205683355885,0.6738227146814404,0.4411366711772666,0.34508474576271186,0.7674760853568801
PRI,2022-12-31,0.5399774392317847,0.697072838665759,0.5136239782016349,0.6972343522561864,0.5383050847457627,0.5365358592692828,0.16508795669824086,0.7153739612188366,0.49458728010825437,0.2671186440677966,0.7748344370860927
PRI,2023-12-31,0.5671722895401411,0.7488087134104833,0.4604904632152589,0.722707423580786,0.6515254237288136,0.7422192151556157,0.17794316644113667,0.6904432132963989,0.30987821380243574,0.3369491525423729,0.8307579102281089
